"Item","Description","Quantity","Cost","Price"
"KEYBOARD & MOUSE:REDRAGON S107","REDRAGON S107 3 IN 1 GAMING ESSENTIALS KEYBOARD MOUSE AND MOUSE PAD",3,1155.00,1417.50
"KMHE BUNDLE:4 IN 1 CLEVER BUNDLE","4 IN 1 FUZION KEYBOARD/ MOUSE/ HEADSET/ MOUSE PAD BUNDLE | CP01 | 1 MONTH WARRANTY | 3 DAYS REPL...",3,715.00,929.50
"KMHE BUNDLE:INPLAY STX240 BLACK  RGB COMBO","INPLAY STX 240 BLACK COMBO | KEYBOARD, MOUSE, HEADSET | 1 MONTH WARRANTY | 3 DAYS OUTRIGHT REPLA...",1,482.90,636.55
"KMHE BUNDLE:INPLAY STX540 BLACK","INPLAY STX540 BLACK 4 IN 1 COMBO GAMING KEYBOARD, MOUSE, HEADSET, EXTENDED MOUSEPAD | METAL FRAM...",1,968.00,1355.20
"KMHE BUNDLE:INPLAY STX540 PINK","INPLAY STX540 PINK 4 IN 1 COMBO GAMING KEYBOARD, MOUSE, HEADSET, EXTENDED MOUSEPAD | METAL FRAME...",1,1027.40,1386.99
"KMHE BUNDLE:INPLAY STX540 WHITE","INPLAY STX540 WHITE 4 IN 1 COMBO GAMING KEYBOARD, MOUSE, HEADSET, EXTENDED MOUSEPAD | METAL FRAM...",0,1027.40,1386.99
"MONITOR:18.5 INCHES P19B G4 LED HP","HP 18.5"" P19B G4 LED DIAGONAL WXGA | 1366X768 | 16:9 | 5MS | HDMI, VGA | ANTI-REFLECTIVE | BLUE ...",1,3071.88,3858.40
"MONITOR:18.5"" 65HZ G1850HD GOMA LED","GOMA G1850HD 18.5"" LED MONITOR | 65HZ FLAT | 5MS | HDMI, VGA | 1 YEAR WARRANTY 1 WEEK OUTRIGHT R...",1,2403.50,2949.75
"MONITOR:19 INCHES N190 LED NVISION","NVISION N190 19"" LED | 1400X900 | 60HZ | 80/80/80/80 | 5MS | TN | 250CD/M2",0,2356.20,2917.20
"MONITOR:19"" PROVISION LED MONITOR","PROVISION D01LED19H 19"" LED MONITOR I W/HDMI I 1920X1080 I VGA,HDMI | 6 MONTHS WARRANTY | 1 WEEK...",1,2236.30,2744.55
"MONITOR:22"" GOMA LED MONITOR","GOMA G2150HD 22"" LED MONITOR I TN PANEL I VGA,HDMI I 1920X1080FHD",2,3531.00,4012.50
"MONITOR:22"" VA2223-H VIEWSONIC 1080P","VIEWSONIC VA2223-H 22"" 1080P HDMI AND VGA INPUT VESA MOUNTABLE | 1 YEAR WARRANTY | 1 WEEK OUTRIG...",1,4876.20,5327.70
"MONITOR:24 INCHES IP24V1 IPS NVISION","NVISION 24"" IP2V1 IPS | 1920X1080 FHD | 75HZ | 23.8"" | 5MS | 300CD/M2 | 3000:1",0,5445.30,6016.92
"MONITOR:24 INCHES XC24S V3 BLK NVISION","NVISION 24"" XC24S V3 CURVED BLACK | 1920X1080 FHD | 75HZ | 5MS | 3000R | HDMI, VGA | VERSION 3",0,4449.465,5072.82
"MONITOR:24"" 75HZ IPS FUZION WIDE LED","21.5"" FUZION WIDE LED SCREEN 75HZ..(FN-22EL) 6 MONTHS WARRANTY|  3 DAYS REPLACEMENT ONLY",0,4620.00,4956.00
"MONITOR:24"" GT24MV IPS NVISION","NVISION GT24MV IPS 24"" FLAT144HZ FHD GAMING MONITOR|1920X1080|5MS/HDMI DP,USB, FREESYNC",0,7487.64,8042.28
"MONITOR:24"" NOVUS 24UMPH 24 INCH LED","NOVUS 24UMPH 24 INCH LED MONITOR | FRAMELESS | 60HZ | LED 1920X1080 | MOUNTABLE / VGA, HDMI | 6 ...",0,5551.20,5962.40
"MONITOR:27"" IN27C18 WHITE NVISION","NVISION IN27C18 CURVE 75HZ 27"" WHITE GAMING MONITOR",0,7279.65,8042.28
"MOTHERBOARD:A320M-HDV ASROCK","ASROCK A320M-HDV | SOCKET AM4 | DDR4 3200+ (OC) (RYZEN CPU) / 2400 (A-SERIES APU) | HDMI, DVI-D,...",0,2195.55,3380.00
"MOTHERBOARD:A320M-K PRO YV14 COLORFUL","COLORFUL A320M-K PRO YV14 | AM4 | DUAL DDR4 | 1*HDMI & VGA | UEFI BIOS | 4*USB 3.0",0,2565.00,3091.40
"MOTHERBOARD:A320M-S2H GIGABYTE","GIGABYTE A320M-S2H | AM4 | DUAL DDR4 | HDMI, DVI-D, D-SUB | 1*M.2 | SUPPORTS RYZEN & ATHLON SERI...",1,2750.00,3404.76
"MOTHERBOARD:A320M A-PRO MSI","MSI A320M A-PRO | RYZEN 3000 DESKTOP READY | SOCKET AM4 | PCI EXPRESS 3.0 | DIRECTX 12 READY | D...",0,2502.00,3002.40
"MOTHERBOARD:A320M EMX-A320M EMAXX GAMING","EMAXX EMX-A320M GAMING AMD A320 CHIPSET, 2XDDR4 UP TO 2667+ ONBOARD 8 CHANNEL HD AUDIO",0,2565.00,3055.00
"MOTHERBOARD:B450 AORUS M GIGABYTE","GIGABYTE B450 AORUS M | AM4 | 4*DDR4 2-CH | 1*M.2 | HDMI, DVI-D | SUPPORTS RYZEN & ATHLON SERIES...",0,6366.60,7598.00
