"Item","Description","Quantity","Cost","BranchCost","Price"
"CCTV:DAHUA DHI-LTV55-SA400 55"" UHD 4","DAHUA DHI-LTV55-SA400 55"" UHD 4K RESOLUTION 3840X2160 SMART TV",0,18550.00,19477.5,20776.00
"CCTV:DVR HIKVISION  DS-7204HGHI-F1","HIKVISION  DS-7204HGHI-F1 720P 4CHANNEL HDTVI/ANALOG/AHD DVR",0,1260.00,1386,1701.00
"CCTV:HIKVISION 4CH KIT TVI","HIKVISION 4CH KIT TVI-4CH2D2B- 1 MP 2PCS DOME & 2 PCS BULLET 4 PCS (18m) COAXIAL CABLE 1PC 1:4 S...",0,4288.00,4631.04,5059.84
"CCTV:HIKVISION 8CH KIT TVI","HIKVISION 8CH KIT TVI-8CH4D4B- 2MP 4PCS DOME & 4PCS BULLET 8PCS(18cm)COAXIAL CABLE 1PC 1:4 SPLIT...",0,10098.00,10804.86,11511.72
"CCTV:HIKVISION TVI-4CH2D2B-5MP","HIKVISION TVI-4CH2D2B-5MP 4 CH. 2 DOME 2 BULLET 5MP | 1 YR WTY 1 MONTH REPLACEMENT",0,8369.00,8954.83,9624.35
"CCTV:HIKVISION TVI-8CH4D4B-5MP HDTVI","HIKVISION TVI-8CH4D4B-5MP HDTVI 5 MP KIT 1 YR WTY 1 MONTH REPLACEMENT",0,14346.00,15206.76,16067.52
"CCTV:UNIVIEW KIT301","UNIVIEW KIT301 | UVKIT NVR301-04LB-P4 POE | 4 PCS 2MP BULLET IPC 2122LR3-PF40-D POE | 1YR WTY",0,9719.00,10399.33,11176.85
"CHASSIS:COOLMAN ARMOR BLACK","COOLMAN ARMOR BLACK",0,1231.00,1354.1,1661.85
"CHASSIS:COOLMAN ARMOR WHITE","COOLMAN ARMOR WHITE",0,1518.00,1669.8,2049.30
"CHASSIS:COOLMAN AURORA WHITE MESH","COOLMAN STREAMER BLACK ATX GAMING CASE | RGB STRIP FRONT PANEL | TEMPERED GLASS SIDE PANEL | 3.5...",0,1930.00,2123,2605.50
