"Item","Description","Quantity","Cost","BranchCost","Price"
"POWER SUPPLY:AEROCOOL RAVE 500WATTS 80PLUS P","AEROCOOL RAVE 500WATTS 80PLUS POWER SUPPLY | 6 MONTHS WARRANTY | 1 WEEK REPLACEMENT",0,2017.00,2722.95,2722.95
"PRINTER:EPSON ECOTANK L3150 WIFI","EPSON ECOTANK L3150 WIFI ALL IN ONE INK PRINTER",0,9400.00,10058,10810.00
"PRINTER:EPSON L120 SINGLE","EPSON L120 SINGLE FUNCTION INK TANK PRINTER / 720X720dpi T6641/T6642/T6643/T6644 (1 YEAR WARRANTY)",10,5050.00,5724,6500.00
"PRINTER:EPSON L3110 PRINTER C11CG87503","EPSON L3110 ECO TANK ALL IN ONE INK TANK  PRINTER ..(1 YEAR WARRANTY)",7,7450.00,8046,8700.00
"PRINTER:EPSON L5190 WIFI MFP PRINTER","EPSON L5190 WIFI MFP ALL IN ONE INK TANK PRINTER/HI-SPEED USB/ETHERNET 10/100/ WIFI / 1 YEAR WAR...",1,12604.60,12604.6,13512.42
"PRINTER:HP SMART TANK 515WL ALL IN 1","HP SMART TANK 515WL ALL IN 1 WIRELESS PRINTER (1TJ09A) 6 Months Warranty/ 1 Week Outright Replac...",1,8588.00,9189.16,9876.20
"PROCESSOR:AMD A6-7480 APU","AMD APU A6-7480 W/ RADEON R5 GRAPHICS | 3.8GHZ MAX, 1MB CACHE | 8 CORES (2 CPU + 6 GPU) | FM2+ |...",1,1634.00,1797.4,2205.90
"PROCESSOR:AMD A8-7680 APU","AMD APU A8-7680 W/ RADEON R7 GRAPHICS | 3.8GHZ MAX, 2MB CACHE | 10 CORES (4 CPU + 8 GPU) | FM2+ ...",0,2094.00,2303.4,2826.90
"PROCESSOR:AMD ATHLON 200GE","AMD ATHLON 200GE W/ RADEON VEGA 3 GRAPHICS | 2 CORES, 4 THREADS | 3.2GHZ BASE | SOCKET AM4 | 5MB...",10,2804.00,3084.4,3645.20
"PROCESSOR:AMD ATHLON 3000G","AMD ATHLON 3000G W/ RADEON VEGA 3 GRAPHICS | 2 CORES, 4 THREADS | 3.5GHZ BASE | 5MB CACHE, UNLOC...",4,3125.00,3437.5,3906.25
"PROCESSOR:AMD RYZEN 3 2200G","AMD RYZEN 3 2200G W/ RADEON VEGA 8 GRAPHICS | 4 CORES | 3.5GHZ BASE | 3.7GHZ MAX | 6MB SMART PRE...",0,4422.00,4643.1,5217.96
"PROCESSOR:AMD RYZEN 3 3100","AMD RYZEN 3 3100 3.9GHZ 65W QUAD CORE AM4 PROCESSOR | 1 YEAR WARRANTY 1WEEK OUTRIGHT REPLACEMENT...",3,5253.00,6055.56,6504.12
"PROCESSOR:AMD RYZEN 3 3200G","AMD RYZEN 3 3200G W/ RADEON VEGA 8 GRAPHICS | 4 CORES, 4 THREADS | 3.6GHZ BASE | 4.0GHZ MAX | 6M...",2,7938.00,7938,8526.00
"PROCESSOR:AMD RYZEN 5 2400G","AMD RYZEN 5 2400G W/ RADEON RX VEGA 11 GRAPHICS | 4 CORES, 8 THREADS | 3.6GHZ BASE | 3.9 GHZ MAX...",0,6698.00,7233.84,7769.68
"PROCESSOR:AMD RYZEN 5 2600","AMD RYZEN 5 2600 | 6 CORES, 12 THREADS | 3.4GHZ BASE | 3.9GHZ MAX | 19MB SMART PREFETCH CACHE, U...",0,7556.48,8160.9984,8689.95
"PROCESSOR:AMD RYZEN 5 3400G","AMD RYZEN 5 3400G W/ RADEON VEGA 11 GRAPHICS | 4 CORES, 8 THREADS | 3.7GHZ BASE | 4.2GHZ MAX | 6...",0,9672.80,9672.8,10396.00
"PROCESSOR:AMD RYZEN 5 3600","AMD RYZEN 5 3600 | 6 CORES, 12 THREADS | 3.6GHZ BASE | 4.2GHZ MAX | 35MB CACHE, UNLOCKED | AM4 |...",0,10068.00,10772.76,11477.52
"PROCESSOR:INTEL CORE I5-11600K UNLOCKED","INTEL CORE I5 11600K UNLOCKED I 6CORES 12 THREADS 12MB CACHE LG1200 REQUIRED CPUCOOLER I2 YEARS ...",0,14317.00,16035.04,16035.04
"PROCESSOR:INTEL CORE I5-9400","Intel� Core� i5-9400 Processor 9M CACHE, UP TO 4.10GHZ 2.90-4.10GHZ DDR4-2666 INTEL UHD GRAPHICS...",1,8350.00,9018,9602.50
"PROCESSOR:INTEL CORE I5 10500","INTEL CORE I5 10500 3.10GHZ 6 CORE 12 THREADS 12MB CACHE LGA1200 | 2 YRS WTY | 1WK  OUTRIGHT REP...",0,10352.00,11076.64,11801.28
"PROCESSOR:INTEL i3-9100","Intel� Core� i3-9100 Processor 4 Cores 4 Threads 3.60-4.20ghz DDR4-2400 | 6 MONTHS WARRANTY | 1 ...",3,6750.00,7357.5,7830.00
"PROCESSOR:INTEL i7-10700K UNLOCKED 3.8GHZ","INTEL i7-10700K UNLOCKED 3.8GHZ UP TO 5.10GHZ LGA1200 | 8 CORES 16 THREADS | 16MB CACHE | 1 YEAR...",1,19812.00,20802.6,21991.32
"PROCESSOR TRAY TYPE:AMD RYZEN 3 3200G TRAY TYPE","RYZEN 3 3200G TRAY TYPE | VEGA 8 GRAPHICS | 4 CORE | 4 THREAD | 4.0 GHZ MAX BOOST | 6 MONTHS WAR...",0,6389.28,6389.28,7411.57
"PROCESSOR TRAY TYPE:AMD RYZEN 5 3600 TRAY TYPE","RYZEN 5 3600 6CORES I TRAY TYPE I 12 THREADS 4.2/ 3.6 GHZ/65W AM4 CPU 1 YEAR WARRANTY 1 WEEK OUT...",0,10300.00,11330,11742.00
"RAM:16GB(2X8) DDR4-3200 AVEXIR RGB","AVEXIR 16GB 2X8GB 3200MHZ CORE2 (AVD4UZ332001608G-2C2C) | 1 YEAR WARRANTY | 3 DAYS OUTRIGHT REPL...",0,4363.00,4712.04,5148.34
"RAM:16GB(2X8) DDR4-3200 CORSAIR BLK","CORSAIR VENGEANCE PRO BLACK 16GB (2X8) DDR4 RGB 3200MHz RAM/ 2 YRS. WARRANTY/ 1 WEEK OUTRIGHT RE...",0,4524.00,4885.92,5338.32
"RAM:16GB(2X8) DDR4-3200 CRUCIAL BLK","CRUCIAL BALLISTIX RGB 16GB KIT 2X8GB DDR4-3200 BLACK 1.35V | BL2K8G32C16URBL | 2 YEARS WARRANTY ...",0,4160.00,4492.8,4908.80
"RAM:16GB(2X8) DDR4-3200 KINGSTON","KINGSTON HYPER X HX432C16FB4/1616GB DDR4 | 3200 CL16 288 PIN UDIMM | 1MON OUTRIGHT | 1YEAR WARRANTY",0,4400.00,4840,5192.00
"RAM:16GB(2X8) DDR4-3200 TFORCE RGB","TEAM DELTA TFORCE 16GB (2x8) DDR4 3200MHZ RGB",0,4400.00,4752,5192.00
"RAM:16GB(2X8) DDR4-3200 TFORCE TUF","TEAMGROUP DELTA TUF UD-D4 3200MHZ 8GBX2 RGB /DDR4 / 1 YEAR WARRANTY 1 WEEK OUTRIGHT",0,4258.80,4599.504,5025.38
"RAM:16GB(2X8) DDR4-3200 TFORCE W","T-FORCE D8GBX23200W WHITE TEAM DELTA RGB 16GB(2X8GB) DDR4 3200Mhz MEMORY | 2 YEARS WARRANTY 1 MO...",0,4170.00,4503.6,4920.60
"RAM:16GB(2X8) DDR4-3200 TG DARK Z","TEAM GROUP DARK Z 2X8GB 3200MHZ DDR4 |GRAY | (TDZGD416G3200HC16CDC01) | NON-RGB | 6 MONTHS WARRA...",1,4451.00,4896.1,5252.18
"RAM:4GB DDR3-1600 SKIHOTAR","SKIHOTAR 4GB DDR3-1600 1.5V CL11 SM3MJ8M3B04A11600CG | 1 YEAR WARRANTY | 1 WEEK OUTRIGTH REPLACE...",3,660.00,726,943.80
"RAM:4GB DDR4-2666 KINGSTON HYPERX","KINGSTON HYPER X  HX426C16FB 4GB DDR4 2666 CL16 288-PIN UDIMM / 1 Week Outright/ 1 Year Warranty",0,1081.00,1189.1,1459.35
"RAM:4GB DDR4-2666 RAMSTA","RAMSTA 4GB DDR4 2666MHZ 1.2V PC4-23100 U-DIMM",1,824.00,906.4,1153.60
"RAM:8GB DDR3-1600 AVEXIR","AVEXIR 8GB DDR3-1600 C11 1.5V AVD3U16001108G-1BW |2YEARS WARRANTY | 1MONTH OUTRIGHT REPLACEMENT",0,1423.00,1565.3,1921.05
"RAM:8GB DDR3-1600 DATO","8GB DATO DDR3 1600MHz / 1 Yr. Warranty",0,1499.00,1648.9,2023.65
"RAM:8GB DDR3-1600 SKIHOTAR","SKIHOTAR 8GB DDR3 1600MHZ DESKTOP MEMORY",1,1361.00,1497.1,1837.35
"RAM:8GB DDR3-1600 TEAM GROUP ELITE","TEAM GROUP TE8D31600 TEAM ELITE 8GB 1600MHz WITH HEATSINK DESKTOP MEMORY/ 2 Yrs. Warranty/ 1 Mon...",0,1579.00,1736.9,2131.65
"RAM:8GB DDR4-2666 AVEXIR 1COR","AVEXIR AVD4UZ326661908G-1COR 8GB DDR4-2666 C19 1.2V",1,2040.00,2244,2754.00
"RAM:8GB DDR4-2666 KIMTIGO","KIMTIGO 8GB DDR4-2666 2RX8 PC4 - 21300U -19 (KMKU8G868-2666V) | 2 YEARS WARRANTY 1 WEEK OUTRIGHT...",1,1974.00,2171.4,2664.90
"RAM:8GB DDR4-2666 KINGSTON HYPERX","KINGSTON 8GB DDR4-2666 KHX426C16FB3/8 HYPER-X FURY BLACK",0,2022.30,2224.53,2730.11
"RAM:8GB DDR4-2666 PCMAXXE","PCMAXXE Ram DDR4 8GB",0,1550.00,1705,2092.50
"RAM:8GB DDR4-2666 RAMSTA","RAMSTA 8GB DDR4 2666MHZ MEMORY",5,1870.00,2057,2524.50
"RAM:8GB DDR4-2666 RGB AVEXIR","AVEXIR 8GB DDR4-2666 RGB CL 19-19-19-43 1.2V AVD4UZ326661908G-1C2A | AURA SYNC | CORE 2 | SPECTR...",0,1745.00,1919.5,2355.75
"RAM:8GB DDR4-2666 SKIHOTAR","8GB SKIHOTAR DDR4 2666MHz / 1 Year Warranty",0,1853.00,2038.3,2501.55
"RAM:8GB DDR4-2800 GSKILL AEGIS","G SKILL AEGIS 8GB DDR4-2800MHz ..CL 17-17-17-37 1.20V (F4-2800C17S-8GIS) 2 Years Warranty/ 1 Wee...",0,1417.00,1558.7,1912.95
"RAM:8GB DDR4-3000 TEAMGROUP ZEUS","TEAMGROUP ZEUS 8GB DDR4-3000 CL16-18-18-38 1.35V TTZD48G3000HC16C01 | 1 YEARS WARRANTY 1  WEEK O...",0,1498.00,1647.8,2022.30
"RAM:8GB DDR4-3200 KINGSTON HYPERX","KINGSTON KHX432C16FB4/16GB/ SINGLE STICK/ 3200MHZ D4 FURY BK/ 2 YEARS WARRANTY 1 WEEK OUTRIGHT",0,2888.00,2123,3754.40
"ROUTER:TENDA F6 WIRELESS N300 ROUTER","TENDA F6 WIRELESS N300 ROUTER/ 1 Year Warranty/ 1 Week Outright Replacement Only",0,672.60,739.86,961.82
"RTX3070 KO 8GB OC ASUS GAMING","ASUS RTX3070  KO I 8GB  GDDR6 I OC GAMING I AURASYNC I DUALFAN I KO-RTX3070-O8G-GAMING",0,44367.00,51022.05,51022.05
"SAFETY ITEMS:1PC FACESHIELD","1PC FACESHIELD",21,15.00,16.5,50.00
"SAFETY ITEMS:25PCS FACEMASK","25PCS FACEMASK",4,45.00,49.5,60.00
"SAFETY ITEMS:MINI HUMIDIFIER","MINI HUMIDIFIER",10,100.00,110,120.00
"SPEAKER:F&D V320 MULTIMEDIA SPEAKER 2.0","F&D V320 MULTIMEDIA SPEAKER 2.0",0,0.00,0,600.00
"SPEAKER:INPLAY MS001 USB 2.0 MULTIMEDIA","INPLAY MS001 USB 2.0 MULTIMEDIA SPEAKER/ 2 Months Warranty Only",0,137.00,150.7,205.50
"SPEAKER:INPLAY MS002","INPLAY MS002 USB 2.0 MULTIMEDIA SPEAKER | 2 MONTHS WARRANTY ONLY",10,199.00,298.50,298.50
"SPEAKER:INPLAY MS003 BLACK MINI SPEAKER","INPLAY MS003 BLACK MINI SPEAKER/ 3 Months Warranty/ 1 Week Outright Replacement Only",0,303.00,333.3,454.50
"SPEAKER:INPLAY MS003 WHITE MINI SPEAKER","INPLAY MS003 WHITE MINI SPEAKER/ 3 Months Warranty/ 1 Week Outright Replacement Only",-1,285.00,313.5,427.50
"SPEAKER:KEYTECH S10 MINI SPEAKER BLACK","KEYTECH S10 MINI SPEAKER BLACK | 15 DAYS WARRANTY | 3 DAYS OUTRIGHT REPLACEMENT",-1,219.00,240.9,328.50
"SPEAKER:KEYTECH S10 MINI SPEAKER PINK","KEYTECH S10 MINI SPEAKER PINK | 15 DAYS WARRANTY | 3 DAYS OUTRIGHT REPLACEMENT",3,219.00,240.9,328.50
"SPEAKER:KEYTECH S10 MINI SPEAKER RED","KEYTECH S10 MINI SPEAKER RED | 15 DAYS WARRANTY | 3 DAYS OUTRIGHT REPLACEMENT",1,219.00,240.9,328.50
"SPEAKER:KEYTECH S10 MINI SPEAKER WHITE","KEYTECH S10  MINI SPEAKER WHITE | 15 DAYS WARRANTY | 3 DAYS OUTRIGHT REPLACEMENT",2,219.00,240.9,328.50
"SPEAKER:REDRAGON GS520 ANVIL 2.0 RGB","REDRAGON GS520 ANVIL 2.0 RGB SPEAKER USB + 3.5MM AUDIO INTERFACE / 6 MONTHS WARRANTY 1 WEEK OUTR...",3,763.00,1068.20,1068.20
"SPEAKER:REDRAGON ORPHEUS GS550","REDRAGON ORPHEUS GS550 SPEAKER",0,550.00,605,786.50
"SSD:120GB APACER AS340","APACER 120GB AS340 PANTHER 2.5"" / 7MM SATA III 6GB/S | 1 YEAR WARRANTY 1 WEEK OUTRIGHT REPLACEMENT",0,1008.00,1108.8,1360.80
"SSD:120GB KIMTIGO KTA-300","KIMTIGO 120GB KTA-300 2.5"" / 7MM SATA III 6GB/S | ULTRA FAST | NOISELESS | LIGHT | LOW POWER CON...",1,933.00,1026.3,1306.20
"SSD:120GB KINGSTON","KINGSTON 120GB A400 SATA 3 2.5 SA400S37/120G Internal SSD",0,1221.00,1343.1,1648.35
"SSD:120GB LEXAR NS10 LITE","LEXAR NS10 LITE 120GB SSD",0,1100.00,1210,1485.00
"SSD:120GB M.2 WESTERN DIGITAL","WESTERN DIGITAL GREEN M.2 120GB 3D NAND SATAIII SSD (WD5120G2G0B) | 2YEARS WARRANTY | 1WEEK OUTR...",0,1129.00,1241.9,1524.15
"SSD:120GB RAMSTA","Ramsta 120GB SATA III SSD / 1 Yr Warranty/ 1 Month Outright Replacement",1,1005.00,1105.5,1356.75
"SSD:120GB WD GREEN","120GB WESTERN DIGITAL GREEN NANO SSD | WD5120G2G0A | 1 YEAR WARRANTY | 1 WEEK OUTRIGHT REPLACEMENT",1,1366.00,1502.6,1844.10
"SSD:240GB HIKVISION","HIKVISION HS-SSD-C100/240G 550MB/s 2.5"" SATA3 3D NAND SSD",1,1701.00,1871.1,2296.35
"SSD:240GB KIMTIGO","240 GB KIMTIGO KTA- 300 2.5 SATA 3 | 6 GB/S 1 YEAR WARRANTY| 1 WEEK OUTRIGHT REPLACEMENT",0,1554.00,1709.4,2097.90
"SSD:240GB KINGSTON","Kingston Technology SA400S37/240G A400 SSD Solid State Drive 2.5 Inch SATA-3 240GB",1,1628.00,1790.8,2197.80
"SSD:240GB RAMSTA","Ramsta R1S800240G 240GB SATA III SSD/ 2 Yrs. Warranty/ 1 Month Warranty",0,1568.00,1724.8,2116.80
"SSD:240GB SANDISK PLUS","240 GB SANDISK PLUS HD SATA SSD",0,1550.00,1705,2092.50
"SSD:240GB SKIHOTAR A320","SKIHOTAR 240GB A320 2.5"" / 7MM SATA III 6GB/S | 1 YEAR WARRANTY 1 WEEK OUTRIGHT REPLACEMENT",4,1444.00,1588.4,1949.40
"SSD:240GB WD GREEN","240 GB SSD WESTERN DIGITAL GREEN 2.5"" 3D NAND WDS240G2G0A/ 2 YEARS WARRANTY/ 1 WEEK REPLACEMENT",0,1552.00,1707.2,2095.20
"SSD:250GB M.2 WESTERN DIGITAL SN550","WESTERN DIGITAL SN550 250GB M.2 NVME PCIE GEN3",0,2048.00,2252.8,2764.80
"SSD:480GB WD GREEN WDS480G2G0A","WESTERN DIGITAL WD GREEN 480GB 2.5"" / 7MM SATA III 6GB/S | WDS480G2G0A | 1 YEAR WARRANTY 1 WEEK ...",0,2943.00,3237.3,3531.60
"SSD:512GB RAMSTA R1S800512G","RAMSTA R1S800512G 512GB SOLID STATE DRIVE| 1 YEAR WARRANTY | 1 MONTH OUTRIGHT",0,2562.00,2818.2,3330.60
"SWITCH HUB:TP LINK TL-SF1008D 8 PORT","TP LINK TL-SF1008D 8 PORT 100MBPS SWITCH HUB NETWORKING/ 1 Year Warranty/ 1 Week Outright Replac...",0,401.00,441.1,581.45
"UPS:650VA APC BVX650I-PH | 360W","APC BVX650I-PH 650VA | 360W | 230V | 4 OUTLETS BACK UP BATTERY | 6-8 HRS | 6 MONTHS WARRANTY | 3...",0,2215.00,2436.5,2990.25
"UPS:650VA SECURE","650VA Secure 650VA 6-30 Minutes Running Time 4 Sockets (1 year Warranty)",0,1440.00,1584,1944.00
"UPS:AIDE UPS 1000VA/ 600W","AWP AIDE 600W-1000VA Single Phase Line - Interactive with Stabilizer UPS (4 Sockets) 6 MONTHS WA...",0,1924.00,2597.40,2597.40
"WALL MOUNT:VESA MOUNT L1-VESA (CB-C11)","L1-VESA (CB-C11) STANDARD FOR LCD/LED WALL MOUNT/ No Warranty",1,49.00,53.9,75.00
"WEBCAM:1080P COOLPRO M207 30FPS W/ MIC","COOLPRO M207 1920X1080P | USB 2.0 | 30FPS | BUILT IN MIC | WIN 7,8,8.1,10 ABOVE | 6 MONTHS WARRA...",10,610.00,671,854.00
"WEBCAM:1080P GSOU T12S","GSOU T12S 1080P 30 FPS FULL HD WEBCAM W/ BUILT IN MICROPHONE/ 3 MONTHS WARRANTY/1 WEEK OUTRIGHT ...",0,878.00,965.8,1229.20
"WEBCAM:1080P GSOU T16S","GSOU T16S WITH LED 1080P 30FPS FULL HD WITH BUILT IN MICROPHONE | 1 MONTH WARRANTY | 3 DAYS OUTR...",0,842.00,1123.1,1378.35
"WEBCAM:1080P INPLAY C1080E","INPLAY C1080E FHD 1080P Webcam/ 3 Months Warranty / 1 Week Outright Replacement Only",0,699.00,768.9,999.57
"WEBCAM:1080P POWER LOGIC","POWER LOGIC 1080P WEBCAM",0,799.00,878.9,1142.57
"WEBCAM:480P A4TECH PK-835G","A4TECH PK-835G 16MP 480P ANTI GLARE W/ MIC",0,550.00,605,786.50
"WEBCAM:720P INPLAY C7202","INPLAY C7202 720P FULL HD WEBCAM / 6 Months Warranty/ 1 Week Outright Replacement Only",0,452.00,497.2,646.36
"WEBCAM:720P REDRAGON GW600","REDRAGON GW600 FOBOS 720P 30FPS WEBCAM | 3 MONTHS WARRANTY | 1 WEEK OUTRIGHT REPLACEMENT ONLY",0,1080.00,1188,1458.00
"WEBCAM:INTELLIGENT MGLE EG-173","INTELLIGENT MGLE EG-173 STAND WEB CAMERA 6 MONTHS WARRANTY",3,250.00,275,375.00
"WEBCAM:QNIX WEB CAMERA 2020","QNIX WEB CAMERA 2020 6 MONTHS WARRANTY",2,850.00,935,995.00
"WIFI RECEIVER:150MBPS COMFAST CF-WU815N","COMFAST CF-WU815N 150MBPS USB WIFI RECEIVER AUTO INSTALL / 6 MONTHS WARRANTY/ 1 WEEK OUTRIGHT RE...",16,169.00,165,262.50
"WIFI RECEIVER:150MBPS LBLINK","LBLINK 150MBPS WIFI DONGLE",2,150.00,165,300.00
"WIFI RECEIVER:150MBPS LBLINK W/ ANTENNA","LBLINK 150MBPS WIFI DONGLE W/ ANTENNA",2,210.00,231,315.00
"WIFI RECEIVER:300MBPS 802.IIN WIRELESS","300 MBPS 802.IIN WIRELESS USB 2.0 24 GHz",1,280.00,308,420.00
"WIFI RECEIVER:300MBPS TPLINK TL-WN822N","TP-LINK TL-WN822N 300MBPS HIGH GAIN WIFI USB ADAPTER DUAL ANTENNA/ 1.5 M EXTENSION CABLE/ 1 YR W...",1,816.00,897.6,1142.40
