,"Item","Description","Quantity","Cost","Price"
,"MOTHERBOARD:INTEL i7-10700K UNLOCKED","INTEL i7-10700K UNLOCKED 3.8GHZ UP TO..5.10GHZ LGA1200 | 8 CORES 16 THREADS |..16MB CACHE | 1 YE...",0,20802.60,21991.32
,"MOUSEPAD:ASSORTED MOUSEPAD","ASSORTED MOUSEPAD",18,13.20,18.00
,"MOUSEPAD:COUGAR ARENA X PINK","COUGAR ARENA X PINK 100 X 400 X 5MM..GAMING MOUSEPAD",1,1074.70,1367.80
,"MOUSEPAD:FANTECH MPR350 AURORA RGB","FANTECH MPR350 AURORA RGB GAMING | 15 DAYS WARRANTY",1,854.70,1087.80
,"MOUSEPAD:L11 MOUSE PAD","L11 MOUSE PAD",7,30.80,42.00
,"MOUSEPAD:MP-60R BLOODY RGB GAMING MOUSEP","MP-60R BLOODY RGB GAMING MOUSEPAD SIZE 354MM(L) 256MM(W) 2.6MM(H) | 1 MONTH WARRANTY | 1 WEEK OU...",1,913.00,1162.00
,"MOUSEPAD:RAZER BIG","RAZER BIG MOUSEPAD",5,44.00,65.00
,"MOUSEPAD:RAZER SMALL","RAZER SMALL MOUSEPAD",0,22.00,35.00
,"POWER SUPPLY:500 WATTS DARKFLASH","500 WATTS DARKFLASH POWER SUPPLY | 6 MONTHS WARRANTY | 1 WEEK REPLACEMENT",0,1575.00,2025.00
,"POWER SUPPLY:500 WATTS FUZION TRUE RATED POW","500 WATTS FUZION TRUE RATED POWER SUPPLY/ 3MONTHS WARRANTY /3 AYS REPLACEMENT",5,1100.00,1680.00
,"POWER SUPPLY:500W RGPS-500W REDRAGON","REDRAGON RGPS-500W GAMING PSU",0,1925.00,2598.75
,"POWER SUPPLY:500W TRUE RATED 2ND HAND","SECOND HAND 500 WATTS TRUE RATED POWER SUPPLY",1,495.00,652.50
,"POWER SUPPLY:550 WATTS COOLER MASTER","550 WATTS COOLER MASTER MWE WHITE  230V / US CABLE | 6 MONTHS WARRANTY | 1 WEEK REPLACEMENT",0,2390.30,3073.24
,"POWER SUPPLY:650W GX-S 80+ GOLD COUGAR","COUGAR GX-S 650W 80+ GOLD CERTIFIED | ATX12V 2.3",0,3759.21,4284.00
,"POWER SUPPLY:700 WATTS ELECTRON  POWER  SUP","700 WATTS ELECTRON  POWER  SUPPLY | 1 WEEK OUTRIGHT REPLACEMENT | 3 MONTHS WARRANTY",0,414.70,565.50
,"POWER SUPPLY:700W GENERIC VALIANT","VALIANT 700W GENERIC",6,410.30,559.50
,"POWER SUPPLY:AVR SECURE 500W","AVR SECURE 500W",5,275.00,412.50
,"POWER SUPPLY:RAIDMAX RX-735AP-R 735W","RAIDMAX RX-735AP-R 735W RGB 80PLUS..Bronze Certified SEMI MODULAR Powersupply |..1 YR WTY | 1wk ...",1,3412.50,4062.50
,"PRINTER:EPSON L120","EPSON L120 SINGLE FUNCTION INK TANK PRINTER / 720X720dpi T6641/T6642/T6643/T6644 (6 MONTHS WARRA...",1,5724.00,6500.00
,"PRINTER:EPSON L3110 ECO TANK ALL IN ONE","EPSON L3110 ECO TANK ALL IN ONE | PRINT, SCAN, COPY | MAX A4, LETTER | 300X300 DPI | COLOUR, BLK...",1,8046.00,8755.50
,"PRINTER:EPSON L5190 WIFI MFP ALL IN ONE","EPSON L5190 WIFI MFP ALL IN ONE INK TANK RINTER/HI-SPEED USB/ETHERNET 10/100/ WIFI / 1..YEAR WAR...",0,12604.60,13512.42
,"PROCESSOR:A6-7480 APU AMD","AMD APU A6-7480 W/ RADEON R5 GRAPHICS | 3.8GHZ MAX, 1MB CACHE | 8 CORES (2 CPU + 6 GPU) | FM2+ |...",0,1764.72,2205.90
,"PROCESSOR:A8-7680 APU AMD","AMD APU A8-7680 W/ RADEON R7 GRAPHICS | 3.8GHZ MAX, 2MB CACHE | 10 CORES (4 CPU + 8 GPU) | FM2+ ...",1,2198.70,2826.90
,"PROCESSOR:AMD ATHLON 200GE W/ RADEON VEGA","AMD ATHLON 200GE W/ RADEON VEGA 3 GRAPHICS | 2 CORES, 4 THREADS |3.2GHZ BASE | SOCKET AM4 | 5MB ...",5,3084.40,3645.20
,"PROCESSOR:ATHLON 3000G AMD","AMD ATHLON 3000G W/ RADEON VEGA 3 GRAPHICS | 2 CORES, 4 THREADS | 3.5GHZ BASE | 5MB CACHE, UNLOC...",1,3437.50,3906.25
,"PROCESSOR:INTEL CORE I5-9400","Intel� Core� i5-9400 Processor 9M CACHE, UP TO 4.10GHZ 2.90-4.10GHZ DDR4-2666 INTEL UHD GRAPHICS...",2,9018.00,9602.50
,"PROCESSOR:INTEL i7-10700K UNLOCKED","INTEL i7-10700K UNLOCKED 3.8GHZ UP TO..5.10GHZ LGA1200 | 8 CORES 16 THREADS |..16MB CACHE | 1 YE...",1,20802.60,21991.32
,"PROCESSOR:RYZEN 3 3200G AMD","AMD RYZEN 3 3200G W/ RADEON VEGA 8 GRAPHICS | 4 CORES, 4 THREADS | 3.6GHZ BASE | 4.0GHZ MAX | 6M...",1,7938.00,8526.00
,"PROCESSOR:RYZEN 5 2400G AMD","AMD RYZEN 5 2400G W/ RADEON RX VEGA 11 GRAPHICS | 4 CORES, 8 THREADS | 3.6GHZ BASE | 3.9 GHZ MAX...",0,7068.60,7769.68
,"PROCESSOR:RYZEN 5 3400G AMD","AMD RYZEN 5 3400G W/ RADEON VEGA 11 GRAPHICS | 4 CORES, 8 THREADS | 3.7GHZ BASE | 4.2GHZ MAX | 6...",0,9672.80,10396.00
,"PROCESSOR:RYZEN 5 3600 AMD","AMD RYZEN 5 3600 | 6 CORES, 12 THREADS | 3.6GHZ BASE | 4.2GHZ MAX | 35MB CACHE, UNLOCKED | AM4 |...",0,10712.25,11477.52
,"PROCESSOR TRAY TYPE:RYZEN 3 3200G TRAY TYPE","RYZEN 3 3200G TRAY TYPE | VEGA 8 GRAPHICS | 4 CORES | 4 THREADS 4.0GHZ MAX BOOST | 6 MONTHS WARR...",1,6211.80,6862.56
,"RAM:16GB (2X8) DDR4-3200 TEAMGROUP","TEAMGROUP TFORCE DELTA RGB 16GB (2X8GB) DDR4 3200MHZ",0,4258.80,5192.00
,"RAM:16GB (2X8) DDR4-3200 TEAMGROUP:TEAM GROUP DARK Z 2X8GB 3200MHZ","TEAM GROUP DARK Z 2X8GB 3200MHZ DDR4 |GRAY (TDZGD416G3200HC16CDC01) | NON-RGB | 6 MONTHS WARRANT...",1,4896.10,5252.18
,"RAM:16GB DDR4-3200 2X8 DELTA TUF","TEAMGROUP DELTA TUF UD-D4 3200MHZ 8GBX2 RGB DDR4 1 YEAR WARRANTY 1 WEEK OUTRIGHT REPLACEMENT",0,4258.80,5025.38
,"RAM:16GB(2X8) DDR4-3200  AVEXIR","AVEXIR 16GB DDR4 3200MHZ CORE 2 (AVD4UZ332001608G -2C2C)",2,4712.04,4756.08
,"RAM:4GB DDR3-1600 SKIHOTAR","SKIHOTAR 4GB DDR3-1600 1.5V CL11 SM3MJ8M3B04A11600CG",2,726.00,943.80
,"RAM:8 GB AVEXIR DDR4-2666 MHZ RGB","8 GB AVEXIR AVD4UZ326661908G-1COR DDR4- 2666 C19 1.2V | 15 DAYS OUTRIGHT REPLACEMENT | 6 MONTHS ...",0,2244.00,2754.00
,"RAM:8GB DDR3-1600 AVEXIR","AVEXIR 8GB DDR3-1600 C11 1.5V AVD3U16001108G-1BW",1,1565.30,1974.91
,"RAM:8GB DDR4-2666 HYPER-X KINGSTON","KINGSTON 8GB DDR4 2666MHZ KHX426C16FB3/8 HYPER-X FURY BLACK",0,2022.30,2730.11
,"RAM:8GB DDR4-2666 KIMTIGO","KIMTIGO 8GB DDR4-2666 2RX8 PC4-21300U-19 (KMKU8G868-2666V)",0,2171.40,2664.96
,"RAM:8GB SKIHOTAR DDR4 2666MHZ","8GB SKIHOTAR DDR4 2666MHZ | 1 YEAR WARRANTY",6,2038.30,2502.90
,"RAM:DDR4-2666 RAMSTA","RAMSTA 8GB DDR4 2666MHZ MEMORY",5,2057.00,2524.50
,"RAM:SKIHOTAR 8GB DDR3 1600MHZ DESKT","SKIHOTAR 8GB DDR3 1600MHZ DESKTOP MEMORY",1,1497.10,1837.47
,"SPEAKER:KEYTECH S10 MINI SPEAKER BLACK","KEYTECH S10 MINI SPEAKER BLACK",2,240.90,328.50
,"SPEAKER:KEYTECH S10 MINI SPEAKER PINK","KEYTECH S10 MINI SPEAKER PINK",3,240.90,328.50
,"SPEAKER:KEYTECH S10 MINI SPEAKER RED","KEYTECH S10 MINI SPEAKER RED",2,240.90,328.50
,"SPEAKER:KEYTECH S10 MINI SPEAKER WHITE","KEYTECH S10 MINI SPEAKER WHITE",2,240.90,328.50
,"SPEAKER:REDRAGON ORPHEUS GS550","REDRAGON ORPHEUS GS550 SPEAKER",2,605.00,786.50
,"SPLITTERS:200MHZ FJ-2002 2 VGA SPLITTER","200MHZ FJ-2002 2 VGA SPLITTER",2,198.00,270.00
,"SPLITTERS:HDMI BI-DIRECTION FJ-HD2","HDMI BI-DIRECTION SWITCH FJ-HD2",2,275.00,375.00
,"SSD:120 GB LEXAR NS10 LITE","120 GB LEXAR NS10 LITE | 6 MONTHS WARRANTY | 15 DAYS OUTRIGHT REPLACEMENT",1,1210.00,1485.00
,"SSD:120GB AS340 PANTHER APACER","APACER 120GB AS340 PANTHER 2.5"" SATA III 6GB/S",0,1108.80,1360.80
,"SSD:120GB KINGSTON A400","KINGSTON 120GB A400 SATA 3 2.5 SA400S37/120G INTERNAL SSD",3,1343.10,1648.35
,"SSD:240 GB RAMSTA SATA III SSD","240 GB RAMSTA R1S800240G SATA III SSD | 15 DAYS OUTRIGHT REPLACEMENT | 6 MONTHS WARRANTY",0,1568.60,2116.80
,"SSD:240GB A400 KINGSTON","KINGSTON A400 240GB SA400S37/240G 2.5 SATA III INTERNAL SSD",0,1790.80,2197.80
,"SSD:240GB SKIHOTAR A320","SKIHOTAR 240GB A320 2.5"" / 7MM SATA III 6GB/S | 1 YEAR WARRANTY 1 WEEK OUTRIGHT REPLACEMENT",1,1588.40,1949.40
,"SURGE PROTECTOR:HUNTKEY SZM304-4 3 SOCKETS","HUNTKEY SZM304-4 3 SOCKETS 1.5 METERS SURGE PROTECTOR | OVERLOAD PROTECTION | MAX2500W-MAX10A, 2...",3,262.90,358.50
,"UPS:APC BVX650I-PH 650VA | 360W | 2","APC BVX650I-PH 650VA | 360W | 230V | 4 OUTLETS",1,2436.50,2990.25
